destination,source,balance
Colombia,Aruba,14632449
Curacao,Aruba,527121
Netherlands,Aruba,2812149
United States,Aruba,12519250
Venezuela,Aruba,2841937
United Arab Emirates,Afghanistan,15765913
Australia,Afghanistan,764751
Austria,Afghanistan,104412
Azerbaijan,Afghanistan,13719
Belgium,Afghanistan,25717
Bahrain,Afghanistan,25862
Belarus,Afghanistan,34055
Canada,Afghanistan,1321981
Switzerland,Afghanistan,4633
China,Afghanistan,28410084
Colombia,Afghanistan,564
Czech Republic,Afghanistan,7327
Germany,Afghanistan,5584718
Denmark,Afghanistan,5581
Egypt,Afghanistan,1065
Spain,Afghanistan,51750
Finland,Afghanistan,1228017
France,Afghanistan,538392
United Kingdom,Afghanistan,1693973
Hong Kong,Afghanistan,941724
Hungary,Afghanistan,10143
Indonesia,Afghanistan,54029
India,Afghanistan,359469649
Iran,Afghanistan,20269215
Iraq,Afghanistan,13190079
Italy,Afghanistan,279918
Jordan,Afghanistan,2796480
Japan,Afghanistan,162888
Kazakhstan,Afghanistan,4450386
Kyrgyzstan,Afghanistan,260826
Kuwait,Afghanistan,87852
Lebanon,Afghanistan,1396108
Myanmar,Afghanistan,374221
Malaysia,Afghanistan,511762
Netherlands,Afghanistan,255374
Norway,Afghanistan,748
New Zealand,Afghanistan,141134
Oman,Afghanistan,1256
Pakistan,Afghanistan,379108953
Poland,Afghanistan,414888
Portugal,Afghanistan,13304
Qatar,Afghanistan,13253
Romania,Afghanistan,298841
Russia,Afghanistan,1665685
Saudi Arabia,Afghanistan,6604192
Singapore,Afghanistan,60309
Slovakia,Afghanistan,62342
Sweden,Afghanistan,107472
Swaziland,Afghanistan,5646
Thailand,Afghanistan,32620
Tajikistan,Afghanistan,7391003
Turkmenistan,Afghanistan,982566
Tunisia,Afghanistan,4027
Turkey,Afghanistan,22020608
Uganda,Afghanistan,17388
Ukraine,Afghanistan,183219
United States,Afghanistan,1777464
Uzbekistan,Afghanistan,2318757
Vietnam,Afghanistan,994299
Yemen,Afghanistan,26415
South Africa,Afghanistan,104543
Afghanistan,Angola,19352
Albania,Angola,2379
Andorra,Angola,326
United Arab Emirates,Angola,884725077
Argentina,Angola,61362
Armenia,Angola,60104
American Samoa,Angola,12006
Antigua and Barbuda,Angola,422005
Australia,Angola,40220091
Austria,Angola,433698
Azerbaijan,Angola,600370
Belgium,Angola,67763200
Benin,Angola,804478
Burkina Faso,Angola,27222
Bangladesh,Angola,55220
Bulgaria,Angola,8434
Bahrain,Angola,1957
Bahamas,Angola,7322892
Belarus,Angola,54309
Belize,Angola,452077
Bolivia,Angola,308751
Brazil,Angola,141486749
Brunei,Angola,8504
Botswana,Angola,16917
Central African Republic,Angola,1438
Canada,Angola,647164296
Switzerland,Angola,68768996
Chile,Angola,1186576
China,Angola,24517058341
Ivory Coast,Angola,17252457
Cameroon,Angola,26838368
Congo,Angola,104759112
Republic of the Congo,Angola,299119102
Colombia,Angola,112587
Cape Verde,Angola,146948
Cuba,Angola,995086
Curacao,Angola,51246
Cyprus,Angola,142435
Czech Republic,Angola,268033
Germany,Angola,3296312
Denmark,Angola,11055998
Algeria,Angola,245226
Ecuador,Angola,41909
Egypt,Angola,773962
Spain,Angola,1250554873
Ethiopia,Angola,49492
Finland,Angola,47988
France,Angola,734551344
Gabon,Angola,5975886
United Kingdom,Angola,425616974
Georgia,Angola,930
Ghana,Angola,49132016
Gibraltar,Angola,91512
Guinea,Angola,927050
Gambia,Angola,56929
Guinea Bissau,Angola,38517
Equatorial Guinea,Angola,2068603
Greece,Angola,18503
Guyana,Angola,12433
Hong Kong,Angola,23811982
Croatia,Angola,87324
Hungary,Angola,97
Indonesia,Angola,575477283
India,Angola,3768940470
Ireland,Angola,1830624
Iran,Angola,468
Iraq,Angola,276519
Iceland,Angola,10672839
Israel,Angola,452453481
Italy,Angola,468914918
Japan,Angola,264671779
Kazakhstan,Angola,198363
Kenya,Angola,1499694
Cambodia,Angola,7429041
South Korea,Angola,146496000
Kuwait,Angola,125073214
Laos,Angola,172499
Lebanon,Angola,798983
Liberia,Angola,12657
Libya,Angola,40722
Lesotho,Angola,1598
Lithuania,Angola,1897
Latvia,Angola,128738
Macau,Angola,20529715
Morocco,Angola,1453081
Madagascar,Angola,3267
Mexico,Angola,325438
Marshall Islands,Angola,2830465
Mali,Angola,65197
Malta,Angola,2317839
Mozambique,Angola,1234247
Mauritania,Angola,388605
Malawi,Angola,215558
Malaysia,Angola,242727975
Namibia,Angola,327921516
Nigeria,Angola,23077163
Niue,Angola,9395
Netherlands,Angola,162760788
Norway,Angola,31884360
New Zealand,Angola,1174
Oman,Angola,72347
Pakistan,Angola,451588
Panama,Angola,110642489
Pitcairn Islands,Angola,14497
Peru,Angola,6538
Philippines,Angola,7069
Papua New Guinea,Angola,4026
Poland,Angola,281221
North Korea,Angola,1
Portugal,Angola,1074137369
Paraguay,Angola,827555
Qatar,Angola,1239825
Romania,Angola,207742
Russia,Angola,3993908
Rwanda,Angola,2653
Saudi Arabia,Angola,489901
Sudan,Angola,1675
Senegal,Angola,7169871
Singapore,Angola,513982584
Sierra Leone,Angola,1153740
Somalia,Angola,715
Serbia,Angola,2028
Sao Tome And Principe,Angola,25955408
Sweden,Angola,8320
Swaziland,Angola,1249753
Seychelles,Angola,114191449
Turks and Caicos Isds,Angola,15586
Chad,Angola,1157367
Togo,Angola,12419361
Thailand,Angola,649626327
Turkmenistan,Angola,1024
Trinidad And Tobago,Angola,162045
Tunisia,Angola,146781
Turkey,Angola,1670515
Tanzania,Angola,423135
Uganda,Angola,12348
Ukraine,Angola,156076
Uruguay,Angola,320586228
United States,Angola,1470132736
St Vincent and the Grenadines,Angola,27217115
Venezuela,Angola,15576
Vietnam,Angola,27801932
Vanuatu,Angola,19046411
South Africa,Angola,1161852096
Zambia,Angola,114163
Zimbabwe,Angola,33803
Netherlands Antilles,Anguilla,4304281
Antigua and Barbuda,Anguilla,3883
Bahamas,Anguilla,651
Barbados,Anguilla,9553
Canada,Anguilla,55931
Switzerland,Anguilla,49781
China,Anguilla,846
Dominican Republic,Anguilla,20077
France,Anguilla,139311
United Kingdom,Anguilla,212417
Grenada,Anguilla,5185
Guyana,Anguilla,4389743
Indonesia,Anguilla,503
Ireland,Anguilla,3627
Israel,Anguilla,106054
Italy,Anguilla,907
Japan,Anguilla,42139
St Kitts and Nevis,Anguilla,31974
Mexico,Anguilla,30
Netherlands,Anguilla,45152
Turks and Caicos Isds,Anguilla,32341
Trinidad And Tobago,Anguilla,18790
United States,Anguilla,1952128
St Vincent and the Grenadines,Anguilla,493
Angola,Albania,48148
Anguilla,Albania,78099
United Arab Emirates,Albania,7436314
